best_epoch,bfs_frac,checkpoint,d,d_e,decoder_bias,e_wd,frac_seeds,grad_clip,gt_ari,gt_hungarian,gt_n_gt_clusters,gt_n_pred_clusters,gt_n_shared,gt_nmi,label_smoothing,label_smoothing_applied,label_smoothing_target,last_decoder_bias,last_epoch,last_gt_ari,last_gt_hungarian,last_gt_n_gt_clusters,last_gt_n_pred_clusters,last_gt_n_shared,last_gt_nmi,last_u_scale_value,last_val_auc,last_val_metric,likelihood,lr,max_abs_train_logit,max_iterations,max_k,method,n_pred_clusters,name,phase,skipped_updates,target_updates,u_norm,u_scale,u_scale_init,u_scale_value,u_scale_value_max,val_auc,val_metric,val_metric_name,val_native_ll,val_native_ll_name
36,1.0,best_val_metric,64,,-9.52868938446045,,,1.0,0.4549656073143067,22451.0,729.0,447.0,46479.0,0.7987222963150428,0.0,False,base_rate,-9.696297645568848,39,0.4656392968417057,22877.0,729.0,446.0,46479.0,0.8050415421326924,,0.9733406492,-1.8006969647293982,bernoulli,0.03,39.60551452636719,,,lv,729,hp_lv_d64_lr0.03_bfs1.0_bernoulli,hp,0,,none,fixed,8.0,,,0.9735043918,-1.7456590483287493,heldout_bernoulli_ll,-1.7456590483287493,heldout_bernoulli_ll
39,1.0,best_val_metric,64,,-7.154046535491943,,,1.0,0.500984280493764,24311.0,729.0,413.0,46479.0,0.8182968565458615,0.0,False,base_rate,-7.154046535491943,39,0.500984280493764,24311.0,729.0,413.0,46479.0,0.8182968565458615,8.0,0.9766828404,-1.7158243707022989,bernoulli,0.03,13.039191246032715,,,lv,728,hp_lv_d64_lr0.03_bfs1.0_bernoulli_unit_fixed8.0,hp,0,,unit,fixed,8.0,8.0,8.0,0.9766828404,-1.7158243707022989,heldout_bernoulli_ll,-1.7158243707022989,heldout_bernoulli_ll
36,1.0,best_val_metric,64,,-8.558674812316895,,,1.0,0.5051342881586615,24886.0,729.0,471.0,46479.0,0.82852309127153,0.0,False,base_rate,-8.551311492919922,39,0.5140516965472692,25213.0,729.0,470.0,46479.0,0.833331233081855,12.0,0.9782153214,-1.686340316494282,bernoulli,0.03,16.600860595703125,,,lv,729,hp_lv_d64_lr0.03_bfs1.0_bernoulli_unit_fixed12.0,hp,0,,unit,fixed,12.0,12.0,12.0,0.9777292198,-1.684144806304875,heldout_bernoulli_ll,-1.684144806304875,heldout_bernoulli_ll
39,1.0,best_val_metric,64,,-9.728673934936523,,,1.0,0.42095835778744856,21996.0,729.0,492.0,46479.0,0.7995521104714048,0.0,False,base_rate,-9.728673934936523,39,0.42095835778744856,21996.0,729.0,492.0,46479.0,0.7995521104714048,14.547101974487305,0.9763924456,-1.697204339201562,bernoulli,0.03,18.86697769165039,,,lv,729,hp_lv_d64_lr0.03_bfs1.0_bernoulli_unit_learned8.0,hp,0,,unit,learned,8.0,14.547101974487305,14.547101974487305,0.9763924456,-1.697204339201562,heldout_bernoulli_ll,-1.697204339201562,heldout_bernoulli_ll
36,1.0,best_val_metric,64,,-9.617774963378906,,,1.0,0.4366484343343204,21912.0,729.0,495.0,46479.0,0.7911540687601668,0.0,False,base_rate,-9.627068519592285,39,0.44844876617815,22493.0,729.0,493.0,46479.0,0.7985814237155213,13.748397827148438,0.9761348476,-1.7956345221923233,bernoulli,0.03,18.332828521728516,,,lv,729,hp_lv_d64_lr0.03_bfs1.0_bernoulli_unit_learned12.0,hp,0,,unit,learned,12.0,14.252609252929688,14.252609252929688,0.9758725096,-1.7122697008755774,heldout_bernoulli_ll,-1.7122697008755774,heldout_bernoulli_ll
36,1.0,best_val_metric,64,,-8.099202156066895,,,1.0,0.4571858048169634,23515.0,729.0,488.0,46479.0,0.8082511465601261,0.0,False,base_rate,-8.129414558410645,39,0.4657418717118106,23857.0,729.0,486.0,46479.0,0.8140319742933062,13.420984268188477,0.9764717002,-1.7588815920305654,bernoulli,0.03,18.97637176513672,,,lv,728,hp_lv_d64_lr0.03_bfs1.0_bernoulli_unit_per_row8.0,hp,0,,unit,per_row,8.0,13.082242965698242,22.548450469970703,0.9759685132,-1.7362619896347706,heldout_bernoulli_ll,-1.7362619896347706,heldout_bernoulli_ll
36,1.0,best_val_metric,64,,-8.078596115112305,,,1.0,0.4418465080271988,23005.0,729.0,489.0,46479.0,0.8164381183954944,0.0,False,base_rate,-8.140305519104004,39,0.44931686785544617,23298.0,729.0,487.0,46479.0,0.8210494084256631,13.499982833862305,0.9762499862,-1.7589998341326674,bernoulli,0.03,22.290512084960938,,,lv,729,hp_lv_d64_lr0.03_bfs1.0_bernoulli_unit_per_row12.0,hp,0,,unit,per_row,12.0,13.192347526550293,23.47417640686035,0.9759914306,-1.7115144353592768,heldout_bernoulli_ll,-1.7115144353592768,heldout_bernoulli_ll
15,1.0,best_val_metric,64,,-8.532122611999512,,,1.0,0.14825789577184298,7922.0,729.0,539.0,46479.0,0.5109163738710673,0.0,False,base_rate,-14.17202377319336,39,0.1597459670034454,8451.0,729.0,529.0,46479.0,0.5241262577356085,,0.5369608326,-6.138500583434366,bernoulli,0.1,910.5972900390625,,,lv,729,hp_lv_d64_lr0.1_bfs1.0_bernoulli,hp,0,,none,fixed,8.0,,,0.9132079676,-2.25408477052294,heldout_bernoulli_ll,-2.25408477052294,heldout_bernoulli_ll
36,1.0,best_val_metric,64,,-7.125256538391113,,,1.0,0.29868147327966815,15745.0,729.0,493.0,46479.0,0.6917848132866439,0.0,False,base_rate,-7.163504600524902,39,0.3030575743661319,15947.0,729.0,492.0,46479.0,0.6956895829875892,8.0,0.9618838294,-1.9092683500717753,bernoulli,0.1,13.039191246032715,,,lv,729,hp_lv_d64_lr0.1_bfs1.0_bernoulli_unit_fixed8.0,hp,0,,unit,fixed,8.0,8.0,8.0,0.9610420846,-1.8935873070015357,heldout_bernoulli_ll,-1.8935873070015357,heldout_bernoulli_ll
36,1.0,best_val_metric,64,,-8.867605209350586,,,1.0,0.36523155420490216,17621.0,729.0,489.0,46479.0,0.6891588722785371,0.0,False,base_rate,-8.892504692077637,39,0.3709925567931501,17864.0,729.0,486.0,46479.0,0.6934254413981121,12.0,0.9639322204,-1.905007537920028,bernoulli,0.1,16.721445083618164,,,lv,729,hp_lv_d64_lr0.1_bfs1.0_bernoulli_unit_fixed12.0,hp,0,,unit,fixed,12.0,12.0,12.0,0.9635903038,-1.8729186731462295,heldout_bernoulli_ll,-1.8729186731462295,heldout_bernoulli_ll
30,1.0,best_val_metric,64,,-8.601619720458984,,,1.0,0.31963157723381896,15505.0,729.0,496.0,46479.0,0.6635613583628717,0.0,False,base_rate,-8.561354637145996,39,0.334422756495542,16178.0,729.0,494.0,46479.0,0.67576118747182,11.927905082702637,0.9578741524,-1.9843452119250566,bernoulli,0.1,19.410005569458008,,,lv,729,hp_lv_d64_lr0.1_bfs1.0_bernoulli_unit_learned8.0,hp,0,,unit,learned,8.0,12.709092140197754,12.709092140197754,0.9556608558,-1.8659938424109266,heldout_bernoulli_ll,-1.8659938424109266,heldout_bernoulli_ll
34,1.0,best_val_metric,64,,-8.722258567810059,,,1.0,0.31171466376343165,15932.0,729.0,522.0,46479.0,0.6797147565183328,0.0,False,base_rate,-9.016427993774414,39,0.32055707809144596,16338.0,729.0,519.0,46479.0,0.6872236310353558,11.704357147216797,0.9612431214,-2.027069528793128,bernoulli,0.1,19.03272247314453,,,lv,729,hp_lv_d64_lr0.1_bfs1.0_bernoulli_unit_learned12.0,hp,0,,unit,learned,12.0,11.837234497070312,11.837234497070312,0.959526617,-1.9030118519171642,heldout_bernoulli_ll,-1.9030118519171642,heldout_bernoulli_ll
34,1.0,best_val_metric,64,,-3.9120523929595947,,,1.0,0.27870588309380284,15775.0,729.0,509.0,46479.0,0.6778232800293296,0.0,False,base_rate,-3.994549512863159,39,0.287370919348813,16138.0,729.0,506.0,46479.0,0.6847202901657065,17.496776580810547,0.95816539,-1.9840513221525515,bernoulli,0.1,59.777008056640625,,,lv,729,hp_lv_d64_lr0.1_bfs1.0_bernoulli_unit_per_row8.0,hp,0,,unit,per_row,8.0,16.811166763305664,44.54418182373047,0.9581707884,-1.933731415317967,heldout_bernoulli_ll,-1.933731415317967,heldout_bernoulli_ll
36,1.0,best_val_metric,64,,-3.7741997241973877,,,1.0,0.36456857623679256,17567.0,729.0,492.0,46479.0,0.6915663221505294,0.0,False,base_rate,-3.845918893814087,39,0.3719219730707601,17848.0,729.0,490.0,46479.0,0.6959840216632666,18.04071617126465,0.9602160966,-1.9314658475341275,bernoulli,0.1,76.48025512695312,,,lv,729,hp_lv_d64_lr0.1_bfs1.0_bernoulli_unit_per_row12.0,hp,0,,unit,per_row,12.0,17.55321502685547,34.32676696777344,0.9608551062,-1.8790312813451657,heldout_bernoulli_ll,-1.8790312813451657,heldout_bernoulli_ll
0,1.0,best_val_metric,64,,-7.953514575958252,,,1.0,0.012817944799534116,2120.0,729.0,729.0,46479.0,0.25098209089733214,0.0,False,base_rate,-14.263288497924805,39,0.0006416207617432745,1143.0,729.0,728.0,46479.0,0.20506741001086567,,0.5,-6.486399412155151,bernoulli,0.3,4204.83447265625,,,lv,729,hp_lv_d64_lr0.3_bfs1.0_bernoulli,hp,0,,none,fixed,8.0,,,0.345646991,-3.845736444184485,heldout_bernoulli_ll,-3.845736444184485,heldout_bernoulli_ll
29,1.0,best_val_metric,64,,-6.808084964752197,,,1.0,0.10428791447017906,5764.0,729.0,624.0,46479.0,0.4068762993773033,0.0,False,base_rate,-6.84014368057251,39,0.10857384717886616,5926.0,729.0,616.0,46479.0,0.41302955540717157,8.0,0.904384243,-2.282191408314527,bernoulli,0.3,14.740631103515625,,,lv,729,hp_lv_d64_lr0.3_bfs1.0_bernoulli_unit_fixed8.0,hp,0,,unit,fixed,8.0,8.0,8.0,0.900718914,-2.268990176111961,heldout_bernoulli_ll,-2.268990176111961,heldout_bernoulli_ll
