name,pred_path,n_shared,n_gt_clusters,n_pred_clusters,hungarian,ari,nmi
pca_kmeans,pca_sweep_assignment_dict.npy,46479.0,729.0,596.0,1440.0,0.005909887023125187,0.22021851937330458
lv_vsbm,lv_sweep_assignment_dict.npy,46479.0,729.0,729.0,2717.0,0.052580000186683795,0.22472918599204242
gnn_L1_d32_lr0.005_ent1.0,gnn_L1_d32_lr0.005_ent1.0_assignment_dict_729.npy,46479.0,729.0,543.0,2949.0,0.023926860141156605,0.21725925034644344
gnn_L1_d64_lr0.005_ent1.0,gnn_L1_d64_lr0.005_ent1.0_assignment_dict_729.npy,46479.0,729.0,464.0,3078.0,0.02160678872907429,0.21799861130673273
gnn_L1_d32_lr0.01_ent1.0,gnn_L1_d32_lr0.01_ent1.0_assignment_dict_729.npy,46479.0,729.0,489.0,2990.0,0.022995219917923665,0.21535239172638432
gnn_L1_d64_lr0.01_ent1.0,gnn_L1_d64_lr0.01_ent1.0_assignment_dict_729.npy,46479.0,729.0,510.0,2750.0,0.01849555529977296,0.21610133243227567
gnn_L1_d32_lr0.05_ent1.0,gnn_L1_d32_lr0.05_ent1.0_assignment_dict_729.npy,46479.0,729.0,681.0,2201.0,0.011484246461801916,0.2442046333152641
gnn_L1_d64_lr0.05_ent1.0,gnn_L1_d64_lr0.05_ent1.0_assignment_dict_729.npy,46479.0,729.0,694.0,2020.0,0.011412611444390932,0.24223264011388115
gnn_L2_d32_lr0.005_ent1.0,gnn_L2_d32_lr0.005_ent1.0_assignment_dict_729.npy,46479.0,729.0,602.0,2753.0,0.016960138330097144,0.21326488712416702
gnn_L2_d64_lr0.005_ent1.0,gnn_L2_d64_lr0.005_ent1.0_assignment_dict_729.npy,46479.0,729.0,559.0,2465.0,0.012370194847166652,0.2092848031651338
gnn_L2_d32_lr0.01_ent1.0,gnn_L2_d32_lr0.01_ent1.0_assignment_dict_729.npy,46479.0,729.0,520.0,2606.0,0.014106553823749179,0.20284709443010734
gnn_L2_d64_lr0.01_ent1.0,gnn_L2_d64_lr0.01_ent1.0_assignment_dict_729.npy,46479.0,729.0,475.0,2444.0,0.008211910813640665,0.17424917582682978
gnn_L2_d32_lr0.05_ent1.0,gnn_L2_d32_lr0.05_ent1.0_assignment_dict_729.npy,46479.0,729.0,727.0,1844.0,0.006306025321532726,0.23687957468381501
gnn_L2_d64_lr0.05_ent1.0,gnn_L2_d64_lr0.05_ent1.0_assignment_dict_729.npy,46479.0,729.0,725.0,1795.0,0.006423532763749357,0.23088592387264514
gnn_L3_d32_lr0.005_ent1.0,gnn_L3_d32_lr0.005_ent1.0_assignment_dict_729.npy,46479.0,729.0,541.0,2745.0,0.016867364144103215,0.21644020190978602
gnn_L3_d64_lr0.005_ent1.0,gnn_L3_d64_lr0.005_ent1.0_assignment_dict_729.npy,46479.0,729.0,529.0,2313.0,0.009538432439055425,0.19386667881133893
gnn_L3_d32_lr0.01_ent1.0,gnn_L3_d32_lr0.01_ent1.0_assignment_dict_729.npy,46479.0,729.0,497.0,2534.0,0.012241170522752916,0.18334410554741584
gnn_L3_d64_lr0.01_ent1.0,gnn_L3_d64_lr0.01_ent1.0_assignment_dict_729.npy,46479.0,729.0,472.0,2501.0,0.014934057197300586,0.1732579789857475
gnn_L3_d32_lr0.05_ent1.0,gnn_L3_d32_lr0.05_ent1.0_assignment_dict_729.npy,46479.0,729.0,729.0,1786.0,0.006819126283186614,0.22266142926788743
gnn_L3_d64_lr0.05_ent1.0,gnn_L3_d64_lr0.05_ent1.0_assignment_dict_729.npy,46479.0,729.0,726.0,1877.0,0.007707895771112072,0.2223628021251601
